Stock,Algorithm,Estimators,Depth,No_of_features,Model_Score,Future_day,Our_test_score
AEM,RF,10,50,20,0.9021065675340768,30,18
AEM,ZR,0,0,0,0,30,30
AEM,RF,10,10,20,0.9066002490660025,40,17
AEM,ZR,0,0,0,0,40,40
AEM,RF,40,50,20,0.9486858573216521,50,31
AEM,ZR,0,0,0,0,50,50
AHT,RF,30,30,20,0.8733766233766234,10,10
AHT,ZR,0,0,0,0,10,5
AHT,RF,10,20,20,0.8872549019607843,20,13
AHT,ZR,0,0,0,0,20,12
AHT,RF,10,20,20,0.9177631578947368,30,21
AHT,ZR,0,0,0,0,30,19
AHT,RF,20,20,20,0.9288079470198676,40,12
AHT,ZR,0,0,0,0,40,8
AHT,RF,10,30,20,0.9233333333333333,50,17
AHT,ZR,0,0,0,0,50,4
AHT,RF,10,30,20,0.9429530201342282,60,43
AHT,ZR,0,0,0,0,60,0
AHT,RF,20,30,20,0.9358108108108109,70,40
AHT,ZR,0,0,0,0,70,0
ABR,RF,10,10,20,0.8256410256410256,10,9
ABR,ZR,0,0,0,0,10,7
ABR,RF,10,20,20,0.9311531841652324,20,19
ABR,ZR,0,0,0,0,20,19
ABR,RF,10,50,20,0.9358752166377816,30,25
ABR,ZR,0,0,0,0,30,27
ABR,RF,30,20,20,0.9389179755671903,40,37
ABR,ZR,0,0,0,0,40,24
ABR,RF,50,50,20,0.961335676625659,50,46
ABR,ZR,0,0,0,0,50,21
ABR,RF,30,30,20,0.9469026548672567,60,57
ABR,ZR,0,0,0,0,60,14
ABR,RF,20,50,20,0.966131907308378,70,65
ABR,ZR,0,0,0,0,70,9
ABR,RF,20,10,20,0.9353680430879713,80,70
ABR,ZR,0,0,0,0,80,24
AKR,RF,10,40,20,0.837037037037037,10,8
AKR,ZR,0,0,0,0,10,6
AKR,RF,20,50,20,0.892059553349876,20,18
AKR,ZR,0,0,0,0,20,11
AKR,RF,10,20,20,0.8952618453865336,30,21
AKR,ZR,0,0,0,0,30,15
AKR,RF,30,40,20,0.924812030075188,40,30
AKR,ZR,0,0,0,0,40,18
AKR,RF,10,50,20,0.9370277078085643,50,39
AKR,ZR,0,0,0,0,50,14
AKR,RF,10,50,20,0.9430379746835443,60,47
AKR,ZR,0,0,0,0,60,27
AHT,RF,30,30,20,0.8733766233766234,10,10
AHT,ZR,0,0,0,0,10,5
AHT,RF,10,20,20,0.8872549019607843,20,13
AHT,ZR,0,0,0,0,20,12
AHT,RF,10,20,20,0.9177631578947368,30,21
AHT,ZR,0,0,0,0,30,19
AHT,RF,20,20,20,0.9288079470198676,40,12
AHT,ZR,0,0,0,0,40,8
AHT,RF,10,30,20,0.9233333333333333,50,17
AHT,ZR,0,0,0,0,50,4
AHT,RF,10,30,20,0.9429530201342282,60,43
AHT,ZR,0,0,0,0,60,0
AHT,RF,20,30,20,0.9358108108108109,70,40
AHT,ZR,0,0,0,0,70,0
AHT,RF,10,20,20,0.9574829931972789,80,19
AHT,ZR,0,0,0,0,80,7
AGN,RF,10,50,20,0.8269938650306748,10,7
AGN,ZR,0,0,0,0,10,10
AGN,RF,40,50,20,0.8877928483353884,20,14
AGN,ZR,0,0,0,0,20,9
AGN,RF,10,10,20,0.9045848822800495,30,11
AGN,ZR,0,0,0,0,30,11
AGN,RF,10,50,20,0.9190535491905355,40,27
AGN,ZR,0,0,0,0,40,26
AGN,RF,10,40,20,0.9436795994993742,50,48
AGN,ZR,0,0,0,0,50,48
AGN,RF,10,40,20,0.9559748427672956,60,58
AGN,ZR,0,0,0,0,60,54
AFL,RF,10,20,20,0.8478527607361963,10,10
AFL,ZR,0,0,0,0,10,4
AFL,RF,10,10,20,0.8199753390875463,20,20
AFL,ZR,0,0,0,0,20,0
AFL,RF,10,10,20,0.8686493184634448,30,30
AFL,ZR,0,0,0,0,30,0
AFL,RF,10,10,20,0.8804483188044832,40,11
AFL,ZR,0,0,0,0,40,11
AFL,RF,10,10,20,0.8873591989987485,50,30
AFL,ZR,0,0,0,0,50,30
AFL,RF,20,10,20,0.9333333333333333,60,46
AFL,ZR,0,0,0,0,60,45
ABR,RF,10,10,20,0.8256410256410256,10,9
ABR,ZR,0,0,0,0,10,7
ABR,RF,10,20,20,0.9311531841652324,20,19
ABR,ZR,0,0,0,0,20,19
ABR,RF,10,50,20,0.9358752166377816,30,25
ABR,ZR,0,0,0,0,30,27
ABR,RF,30,20,20,0.9389179755671903,40,37
ABR,ZR,0,0,0,0,40,24
ABR,RF,50,50,20,0.961335676625659,50,46
ABR,ZR,0,0,0,0,50,21
ABR,RF,30,30,20,0.9469026548672567,60,57
ABR,ZR,0,0,0,0,60,14
ABR,RF,20,50,20,0.966131907308378,70,65
ABR,ZR,0,0,0,0,70,9
ABR,RF,20,10,20,0.9353680430879713,80,70
ABR,ZR,0,0,0,0,80,24
ABR,RF,10,40,20,0.9385171790235082,90,87
ABR,ZR,0,0,0,0,90,39
AEM,RF,10,40,20,0.8392638036809816,10,10
