Stock,Algorithm,Estimators,Depth,No_of_features,Model_Score,Future_day,Our_test_score
AGN,ZR,0,0,0,0,30,4
AGN,RF,20,50,20,0.8386277001270648,40,24
AGN,ZR,0,0,0,0,40,25
AGN,RF,10,10,20,0.8408215661103979,50,26
AGN,ZR,0,0,0,0,50,23
AGN,RF,10,30,20,0.8638132295719845,60,53
AGN,ZR,0,0,0,0,60,6
AEM,RF,40,40,20,0.686806411837238,10,8
AEM,ZR,0,0,0,0,10,7
AEM,RF,10,10,20,0.7347447073474471,20,20
AEM,ZR,0,0,0,0,20,20
AEM,RF,10,20,20,0.7748427672955975,30,26
AEM,ZR,0,0,0,0,30,12
AEM,RF,40,40,20,0.8271918678526048,40,29
AEM,ZR,0,0,0,0,40,27
AEM,RF,20,30,20,0.82798459563543,50,29
AEM,ZR,0,0,0,0,50,45
AEM,RF,20,50,20,0.8326848249027238,60,27
AEM,ZR,0,0,0,0,60,40
ABR,RF,10,10,20,0.7422680412371134,10,6
ABR,ZR,0,0,0,0,10,6
ABR,RF,10,20,20,0.813588850174216,20,12
ABR,ZR,0,0,0,0,20,0
ABR,RF,10,20,20,0.8074204946996466,30,17
ABR,ZR,0,0,0,0,30,6
ABR,RF,20,10,20,0.8315412186379928,40,40
ABR,ZR,0,0,0,0,40,40
ABR,RF,20,20,20,0.84,50,44
ABR,ZR,0,0,0,0,50,33
ABR,RF,10,50,20,0.8505535055350554,60,29
ABR,ZR,0,0,0,0,60,27
ABR,RF,10,10,20,0.8202247191011236,70,46
ABR,ZR,0,0,0,0,70,46
ABR,RF,10,10,20,0.8403041825095057,80,66
ABR,ZR,0,0,0,0,80,61
ABR,RF,50,10,20,0.8687258687258688,90,61
ABR,ZR,0,0,0,0,90,89
ABR,RF,20,40,20,0.8411764705882353,100,96
ABR,ZR,0,0,0,0,100,100
AHT,RF,10,10,20,0.7177814029363785,10,1
AHT,ZR,0,0,0,0,10,9
AHT,RF,10,10,20,0.7454545454545455,20,19
AHT,ZR,0,0,0,0,20,1
AHT,RF,10,10,20,0.7386934673366834,30,10
AHT,ZR,0,0,0,0,30,21
AHT,RF,30,20,20,0.8217317487266553,40,28
AHT,ZR,0,0,0,0,40,30
AHT,RF,20,30,20,0.7573149741824441,50,23
AHT,ZR,0,0,0,0,50,35
AHT,RF,40,10,20,0.8097731239092496,60,49
AHT,ZR,0,0,0,0,60,11
AHT,RF,10,30,20,0.8283185840707965,70,59
AHT,ZR,0,0,0,0,70,7
AHT,RF,30,10,20,0.7809694793536804,80,58
AHT,ZR,0,0,0,0,80,19
AHT,RF,30,50,20,0.825136612021858,90,62
AHT,ZR,0,0,0,0,90,50
AFL,RF,10,10,20,0.8187422934648582,10,8
AFL,ZR,0,0,0,0,10,8
AFL,RF,10,20,20,0.8343711083437111,20,17
AFL,ZR,0,0,0,0,20,8
AFL,RF,10,40,20,0.8377358490566038,30,22
AFL,ZR,0,0,0,0,30,23
AFL,RF,10,20,20,0.8373570520965693,40,10
AFL,ZR,0,0,0,0,40,8
AFL,RF,30,40,20,0.8446726572528883,50,42
