Stock,Algorithm,Estimators,Depth,Distance_function,No_of_features,Model_Score,Future_day,C,degree,No_of_neighbors,Our_test_score
 BHP,RF,50,40,0,-1,0.5509989484752892,40,-1,-1,-1,34
 BHP,SVM,-1,-1,linear,-1,0.5594111461619348,40,0.5,1,-1,30
 BHP,KNN,-1,-1,chebyshev,11,0.5068349106203995,40,-1,-1,-1,29
 BHP,RF,30,10,0,-1,0.5567338282078473,50,-1,-1,-1,39
 BHP,SVM,-1,-1,poly,-1,0.5609756097560976,50,100,4,-1,37
 BHP,KNN,-1,-1,euclidean,11,0.5503711558854719,50,-1,-1,-1,37
 BHP,RF,50,20,0,-1,0.5657754010695187,60,-1,-1,-1,31
 BHP,SVM,-1,-1,linear,-1,0.5647058823529412,60,0.5,1,-1,30
 BHP,KNN,-1,-1,chebyshev,11,0.5529411764705883,60,-1,-1,-1,32
 BHP,RF,10,50,0,-1,0.5480043149946062,70,-1,-1,-1,29
 BHP,SVM,-1,-1,poly,-1,0.5555555555555556,70,1,2,-1,23
 BHP,KNN,-1,-1,canberra,11,0.5296655879180151,70,-1,-1,-1,30
 BHP,RF,30,30,0,-1,0.5353645266594124,80,-1,-1,-1,40
 BHP,SVM,-1,-1,poly,-1,0.5669205658324266,80,0.5,2,-1,37
 BHP,KNN,-1,-1,canberra,11,0.55930359085963,80,-1,-1,-1,41
 BHP,RF,10,20,0,-1,0.5762897914379802,90,-1,-1,-1,47
 BHP,SVM,-1,-1,poly,-1,0.5762897914379802,90,1,2,-1,52
 BHP,KNN,-1,-1,euclidean,11,0.5488474204171241,90,-1,-1,-1,44
 BHP,RF,40,10,0,-1,0.5614617940199336,100,-1,-1,-1,59
 BHP,SVM,-1,-1,poly,-1,0.5559246954595792,100,0.5,3,-1,65
 BHP,KNN,-1,-1,chebyshev,11,0.5503875968992248,100,-1,-1,-1,56
 CUZ,RF,20,20,0,-1,0.6280737704918032,10,-1,-1,-1,6
 CUZ,SVM,-1,-1,linear,-1,0.6413934426229508,10,0.5,1,-1,1
 CUZ,KNN,-1,-1,euclidean,11,0.6301229508196722,10,-1,-1,-1,6
 CUZ,RF,10,40,0,-1,0.4297520661157025,20,-1,-1,-1,5
 CUZ,SVM,-1,-1,rbf,-1,0.45041322314049587,20,0.5,1,-1,6
 CUZ,KNN,-1,-1,euclidean,11,0.3987603305785124,20,-1,-1,-1,8
 CUZ,RF,30,10,0,-1,0.46145833333333336,30,-1,-1,-1,1
 CUZ,SVM,-1,-1,poly,-1,0.46875,30,0.5,4,-1,2
 CUZ,KNN,-1,-1,braycurtis,11,0.4197916666666667,30,-1,-1,-1,7
 CUZ,RF,10,30,0,-1,0.49789915966386555,40,-1,-1,-1,27
 CUZ,SVM,-1,-1,poly,-1,0.5357142857142857,40,5,2,-1,23
 CUZ,KNN,-1,-1,chebyshev,11,0.4579831932773109,40,-1,-1,-1,25
 CUZ,RF,40,30,0,-1,0.5423728813559322,50,-1,-1,-1,34
 CUZ,SVM,-1,-1,poly,-1,0.551906779661017,50,1,2,-1,31
 CUZ,KNN,-1,-1,chebyshev,11,0.486228813559322,50,-1,-1,-1,29
 CUZ,RF,20,20,0,-1,0.5523504273504274,60,-1,-1,-1,10
 CUZ,SVM,-1,-1,linear,-1,0.5598290598290598,60,0.5,1,-1,1
 CUZ,KNN,-1,-1,chebyshev,11,0.5363247863247863,60,-1,-1,-1,25
 CUZ,RF,40,10,0,-1,0.5797413793103449,70,-1,-1,-1,5
 CUZ,SVM,-1,-1,poly,-1,0.5883620689655172,70,0.5,4,-1,4
 CUZ,KNN,-1,-1,chebyshev,11,0.5495689655172413,70,-1,-1,-1,21
 CUZ,RF,50,10,0,-1,0.5815217391304348,80,-1,-1,-1,5
 CUZ,SVM,-1,-1,poly,-1,0.5760869565217391,80,10,3,-1,4
 CUZ,KNN,-1,-1,chebyshev,11,0.5239130434782608,80,-1,-1,-1,11
 CUZ,RF,10,20,0,-1,0.5679824561403509,90,-1,-1,-1,31
 CUZ,SVM,-1,-1,linear,-1,0.5855263157894737,90,0.5,1,-1,30
 CUZ,KNN,-1,-1,chebyshev,11,0.5230263157894737,90,-1,-1,-1,31
 CUZ,RF,20,30,0,-1,0.5785398230088495,100,-1,-1,-1,66
 CUZ,SVM,-1,-1,poly,-1,0.5785398230088495,100,100,2,-1,69
 CUZ,KNN,-1,-1,chebyshev,11,0.5730088495575221,100,-1,-1,-1,54
 CWEN,RF,40,10,0,-1,0.6149732620320856,10,-1,-1,-1,4
 CWEN,SVM,-1,-1,poly,-1,0.6310160427807486,10,100,3,-1,4
