,Stock,Algorithm,Estimators,Depth,Distance_function,No_of_features,Model_Score,Future_day,C,degree,No_of_neighbors,Our_test_score
284, LAZ,KNN,-1,-1,braycurtis,11,0.7295208655332303,50,-1,-1,3,22
285, LAZ,KNN,-1,-1,braycurtis,12,0.6917057902973396,60,-1,-1,7,31
286, LAZ,KNN,-1,-1,manhattan,12,0.7083993660855784,70,-1,-1,3,26
287, LAZ,KNN,-1,-1,canberra,10,0.6966292134831461,80,-1,-1,3,32
288, LAZ,KNN,-1,-1,braycurtis,12,0.6926829268292682,90,-1,-1,5,38
289, LAZ,KNN,-1,-1,euclidean,11,0.728171334431631,100,-1,-1,3,54
290, IX,KNN,-1,-1,canberra,12,0.7154899894625922,10,-1,-1,3,2
291, IX,KNN,-1,-1,euclidean,10,0.7768331562167906,20,-1,-1,3,2
292, IX,KNN,-1,-1,braycurtis,11,0.7684887459807074,30,-1,-1,3,8
293, IX,KNN,-1,-1,braycurtis,10,0.7686486486486487,40,-1,-1,5,12
294, IX,KNN,-1,-1,manhattan,10,0.7982551799345693,50,-1,-1,3,32
295, IX,KNN,-1,-1,braycurtis,13,0.8151815181518152,60,-1,-1,3,33
296, IX,KNN,-1,-1,canberra,10,0.806881243063263,70,-1,-1,5,55
297, IX,KNN,-1,-1,braycurtis,11,0.7760358342665173,80,-1,-1,3,30
298, IX,KNN,-1,-1,braycurtis,10,0.7796610169491526,90,-1,-1,3,57
299, IX,KNN,-1,-1,braycurtis,11,0.7879133409350056,100,-1,-1,3,40
