Stock,Algorithm,Estimators,Depth,Distance_function,No_of_features,Model_Score,Future_day,C,Our_test_score
 CWEN,SVM,0,0,Linear,10,6.1,10,0.5,0
 CWEN,ZR,0,0,0,0,7.1,10,-1,10
 CWEN,KNN,0,0,hamming,all,10.75,20,-1,11
 CWEN,RF,30,20,0,10,12.375,20,-1,16
 CWEN,SVM,0,0,Linear,10,11.875,20,100,13
 CWEN,ZR,0,0,0,0,7.625,20,-1,2
 CWEN,KNN,0,0,euclidean,all,17.8,30,-1,9
 CWEN,RF,10,30,0,22,18.4,30,-1,11
 CWEN,SVM,0,0,Linear,10,20.8,30,1,22
 CWEN,ZR,0,0,0,0,10.0,30,-1,0
 CWEN,KNN,0,0,braycurtis,all,24.333333333333332,40,-1,25
 CWEN,RF,10,30,0,10,28.666666666666668,40,-1,38
 CWEN,SVM,0,0,Linear,10,33.666666666666664,40,5,38
 CWEN,ZR,0,0,0,0,12.333333333333334,40,-1,2
 CWEN,KNN,0,0,chebyshev,all,22.0,50,-1,32
 CWEN,RF,20,40,0,15,36.333333333333336,50,-1,35
 CWEN,SVM,0,0,Linear,10,21.0,50,0.5,31
 CWEN,ZR,0,0,0,0,13.0,50,-1,29
 CWEN,KNN,0,0,euclidean,all,38.5,60,-1,36
 CWEN,RF,30,20,0,10,44.0,60,-1,45
 CWEN,SVM,0,0,Linear,10,39.5,60,100,29
 CWEN,ZR,0,0,0,0,16.5,60,-1,29
 CWEN,KNN,0,0,hamming,all,27.0,70,-1,27
 CWEN,RF,10,50,0,10,27.0,70,-1,27
 CWEN,SVM,0,0,Linear,10,18.0,70,100,18
 CWEN,ZR,0,0,0,0,9.0,70,-1,9
 CWEN,KNN,0,0,canberra,all,57.0,80,-1,57
 CWEN,RF,10,20,0,22,66.0,80,-1,66
 CWEN,SVM,0,0,Linear,10,49.0,80,0.5,49
 CWEN,ZR,0,0,0,0,49.0,80,-1,49
 CWEN,KNN,0,0,euclidean,all,87.0,90,-1,87
 CWEN,RF,50,20,0,15,68.0,90,-1,68
 CWEN,SVM,0,0,Linear,10,84.0,90,0.5,84
 CWEN,ZR,0,0,0,0,87.0,90,-1,87
 CWEN,KNN,0,0,manhattan,all,96.0,100,-1,96
 CWEN,RF,10,20,0,15,59.0,100,-1,59
 CWEN,SVM,0,0,Linear,10,97.0,100,100,97
 CWEN,ZR,0,0,0,0,97.0,100,-1,97
 AVNS,KNN,0,0,euclidean,all,4.0,10,-1,7
 AVNS,RF,10,30,0,10,4.3,10,-1,8
 AVNS,SVM,0,0,Linear,10,4.5,10,0.5,7
 AVNS,ZR,0,0,0,0,3.2,10,-1,7
 AVNS,KNN,0,0,manhattan,all,11.333333333333334,20,-1,20
 AVNS,RF,10,20,0,10,12.222222222222221,20,-1,20
 AVNS,SVM,0,0,Linear,10,11.222222222222221,20,1,20
 AVNS,ZR,0,0,0,0,6.666666666666667,20,-1,0
 AVNS,KNN,0,0,hamming,all,16.666666666666668,30,-1,16
 AVNS,RF,30,10,0,10,17.333333333333332,30,-1,27
 AVNS,SVM,0,0,Linear,10,18.833333333333332,30,0.5,5
 AVNS,ZR,0,0,0,0,10.333333333333334,30,-1,3
 AVNS,KNN,0,0,hamming,all,20.75,40,-1,19
 AVNS,RF,10,20,0,22,27.5,40,-1,25
 AVNS,SVM,0,0,Linear,10,27.75,40,5,13
 AVNS,ZR,0,0,0,0,13.75,40,-1,13
 AVNS,KNN,0,0,chebyshev,all,27.0,50,-1,33
 AVNS,RF,20,30,0,24,29.666666666666668,50,-1,35
 AVNS,SVM,0,0,Linear,10,29.333333333333332,50,10,29
 AVNS,ZR,0,0,0,0,19.0,50,-1,29
 AVNS,KNN,0,0,chebyshev,all,38.0,60,-1,43
 AVNS,RF,10,10,0,22,50.5,60,-1,52
 AVNS,SVM,0,0,Linear,10,30.0,60,0.5,31
 AVNS,ZR,0,0,0,0,16.0,60,-1,29
 AVNS,KNN,0,0,braycurtis,all,48.0,70,-1,52
 AVNS,RF,50,40,0,24,34.5,70,-1,55
 AVNS,SVM,0,0,Linear,10,34.5,70,5,55
 AVNS,ZR,0,0,0,0,33.0,70,-1,53
 AVNS,KNN,0,0,manhattan,all,51.0,80,-1,55
 AVNS,RF,10,50,0,22,31.5,80,-1,22
 AVNS,SVM,0,0,Linear,10,33.5,80,0.5,16
 AVNS,ZR,0,0,0,0,52.0,80,-1,67
 AVNS,KNN,0,0,canberra,all,64.0,90,-1,64
 AVNS,RF,50,10,0,20,66.0,90,-1,66
 AVNS,SVM,0,0,Linear,10,48.0,90,0.5,48
 AVNS,ZR,0,0,0,0,73.0,90,-1,73
 AVNS,KNN,0,0,chebyshev,all,63.0,100,-1,63
 AVNS,RF,50,50,0,20,83.0,100,-1,83
 AVNS,SVM,0,0,Linear,10,39.0,100,0.5,39
 AVNS,ZR,0,0,0,0,75.0,100,-1,75
 SMLP,KNN,0,0,euclidean,all,4.3,10,-1,5
 SMLP,RF,30,10,0,10,5.3,10,-1,5
 SMLP,SVM,0,0,Linear,10,5.3,10,1,3
 SMLP,ZR,0,0,0,0,2.6,10,-1,6
 SMLP,KNN,0,0,canberra,all,10.4,20,-1,8
 SMLP,RF,10,10,0,24,12.0,20,-1,16
 SMLP,SVM,0,0,Linear,10,10.1,20,5,4
 SMLP,ZR,0,0,0,0,5.5,20,-1,3
 SMLP,KNN,0,0,euclidean,all,14.88888888888889,30,-1,18
 SMLP,RF,40,50,0,10,15.666666666666666,30,-1,23
 SMLP,SVM,0,0,Linear,10,18.666666666666668,30,10,22
 SMLP,ZR,0,0,0,0,10.88888888888889,30,-1,17
 SMLP,KNN,0,0,manhattan,all,24.142857142857142,40,-1,30
 SMLP,RF,10,30,0,24,24.0,40,-1,34
 SMLP,SVM,0,0,Linear,10,22.285714285714285,40,100,33
 SMLP,ZR,0,0,0,0,14.714285714285714,40,-1,7
 SMLP,KNN,0,0,manhattan,all,30.2,50,-1,39
 SMLP,RF,50,10,0,10,31.0,50,-1,39
 SMLP,SVM,0,0,Linear,10,31.0,50,100,39
 SMLP,ZR,0,0,0,0,20.8,50,-1,12
 SMLP,KNN,0,0,chebyshev,all,36.25,60,-1,41
 SMLP,RF,10,40,0,24,40.5,60,-1,53
 SMLP,SVM,0,0,Linear,10,34.0,60,0.5,40
 SMLP,ZR,0,0,0,0,20.75,60,-1,7
 SMLP,KNN,0,0,euclidean,all,44.0,70,-1,52
 SMLP,RF,10,10,0,10,46.0,70,-1,60
 SMLP,SVM,0,0,Linear,10,39.333333333333336,70,0.5,44
 SMLP,ZR,0,0,0,0,26.0,70,-1,12
 SMLP,KNN,0,0,hamming,all,38.0,80,-1,35
 SMLP,RF,10,40,0,20,44.0,80,-1,46
 SMLP,SVM,0,0,Linear,10,48.0,80,100,42
 SMLP,ZR,0,0,0,0,33.666666666666664,80,-1,38
 SMLP,KNN,0,0,manhattan,all,49.5,90,-1,54
 SMLP,RF,50,20,0,10,56.0,90,-1,70
 SMLP,SVM,0,0,Linear,10,47.5,90,0.5,58
 SMLP,ZR,0,0,0,0,41.5,90,-1,31
 SMLP,KNN,0,0,manhattan,all,56.5,100,-1,61
 SMLP,RF,50,10,0,20,66.5,100,-1,72
 SMLP,SVM,0,0,Linear,10,57.0,100,0.5,59
 SMLP,ZR,0,0,0,0,43.0,100,-1,41
 MN,KNN,0,0,hamming,all,5.2,10,-1,10
 MN,RF,40,30,0,10,4.4,10,-1,10
 MN,SVM,0,0,Linear,10,5.2,10,5,9
 MN,ZR,0,0,0,0,2.8,10,-1,0
 MN,KNN,0,0,manhattan,all,10.5,20,-1,13
 MN,RF,10,20,0,22,13.8,20,-1,16
 MN,SVM,0,0,Linear,10,11.0,20,5,8
 MN,ZR,0,0,0,0,9.8,20,-1,4
 MN,KNN,0,0,hamming,all,15.1,30,-1,24
 MN,RF,50,50,0,10,15.0,30,-1,22
 MN,SVM,0,0,Linear,10,13.5,30,0.5,15
 MN,ZR,0,0,0,0,7.9,30,-1,14
 MN,KNN,0,0,euclidean,all,20.875,40,-1,24
 MN,RF,10,10,0,10,18.5,40,-1,24
 MN,SVM,0,0,Linear,10,21.625,40,0.5,25
 MN,ZR,0,0,0,0,16.75,40,-1,19
 MN,KNN,0,0,chebyshev,all,27.833333333333332,50,-1,28
 MN,RF,20,10,0,20,21.5,50,-1,33
 MN,SVM,0,0,Linear,10,25.0,50,100,22
 MN,ZR,0,0,0,0,20.833333333333332,50,-1,21
 MN,KNN,0,0,chebyshev,all,33.4,60,-1,40
 MN,RF,20,40,0,22,28.2,60,-1,40
 MN,SVM,0,0,Linear,10,29.8,60,0.5,38
 MN,ZR,0,0,0,0,27.6,60,-1,23
 MN,KNN,0,0,chebyshev,all,39.5,70,-1,57
 MN,RF,40,30,0,24,43.0,70,-1,53
 MN,SVM,0,0,Linear,10,41.25,70,10,48
 MN,ZR,0,0,0,0,29.0,70,-1,23
 MN,KNN,0,0,braycurtis,all,43.666666666666664,80,-1,60
 MN,RF,30,30,0,15,44.666666666666664,80,-1,58
 MN,SVM,0,0,Linear,10,42.666666666666664,80,0.5,54
 MN,ZR,0,0,0,0,37.666666666666664,80,-1,26
 MN,KNN,0,0,canberra,all,50.666666666666664,90,-1,59
 MN,RF,10,20,0,24,54.0,90,-1,62
 MN,SVM,0,0,Linear,10,52.0,90,0.5,59
 MN,ZR,0,0,0,0,38.0,90,-1,31
 MN,KNN,0,0,braycurtis,all,56.0,100,-1,62
 MN,RF,20,10,0,20,60.0,100,-1,76
 MN,SVM,0,0,Linear,10,53.0,100,0.5,65
 MN,ZR,0,0,0,0,47.0,100,-1,35
