Stock,Algorithm,Estimators,Depth,Metric,No_of_features,Model_Score,Future_day,Our_test_score
 AUY,KNN,0,0,hamming,0,0.4888475836431227,80,45
 ATI,KNN,0,0,euclidean,0,0.6055776892430279,70,37
 ATO,KNN,0,0,euclidean,0,0.6330275229357798,70,54
 ASA,KNN,0,0,chebyshev,0,0.580602883355177,70,40
 AU,KNN,0,0,manhattan,0,0.6264744429882044,70,32
 AVB,KNN,0,0,hamming,0,0.5884665792922673,70,44
 ASX,KNN,0,0,chebyshev,0,0.5942857142857143,80,46
 AUY,KNN,0,0,manhattan,0,0.620754716981132,90,53
 ATI,KNN,0,0,canberra,0,0.6375838926174496,80,46
 ATO,KNN,0,0,hamming,0,0.6052980132450331,80,78
 ASA,KNN,0,0,euclidean,0,0.6198675496688741,80,44
 AU,KNN,0,0,chebyshev,0,0.5403973509933775,80,43
 AVB,KNN,0,0,hamming,0,0.6490066225165563,80,68
 ASX,KNN,0,0,hamming,0,0.5072254335260116,90,50
 AUY,KNN,0,0,braycurtis,0,0.632183908045977,100,53
 ATI,KNN,0,0,chebyshev,0,0.5753052917232022,90,55
 ATO,KNN,0,0,hamming,0,0.6024096385542169,90,77
 ASA,KNN,0,0,hamming,0,0.5327978580990629,90,53
 AU,KNN,0,0,hamming,0,0.535475234270415,90,63
 AVB,KNN,0,0,hamming,0,0.5890227576974565,90,78
 ASX,KNN,0,0,canberra,0,0.6608187134502924,100,63
 ATI,KNN,0,0,canberra,0,0.6323731138545954,100,66
 ATO,KNN,0,0,hamming,0,0.591339648173207,100,89
 ASA,KNN,0,0,hamming,0,0.516914749661705,100,63
 AU,KNN,0,0,chebyshev,0,0.5588633288227334,100,67
 AVB,KNN,0,0,hamming,0,0.6143437077131259,100,89
 BBU,KNN,0,0,error,0,-1,10,-1
 BBU,KNN,0,0,error,0,-1,20,-1
 BBU,KNN,0,0,error,0,-1,30,-1
 BBU,KNN,0,0,error,0,-1,40,-1
 BBU,KNN,0,0,error,0,-1,50,-1
 BBU,KNN,0,0,error,0,-1,60,-1
 BBU,KNN,0,0,error,0,-1,70,-1
 BBU,KNN,0,0,error,0,-1,80,-1
 BBU,KNN,0,0,error,0,-1,90,-1
 BBU,KNN,0,0,error,0,-1,100,-1
 BBF,KNN,0,0,hamming,0,0.8807854137447405,10,10
 AVY,KNN,0,0,manhattan,0,0.6905055487053021,10,4
 AXE,KNN,0,0,manhattan,0,0.531442663378545,10,3
 BBX,KNN,0,0,hamming,0,0.4885204081632653,10,8
 BBY,KNN,0,0,braycurtis,0,0.5043156596794082,10,8
 BCE,KNN,0,0,manhattan,0,0.8360049321824907,10,10
 BDC,KNN,0,0,chebyshev,0,0.5141800246609125,10,8
 BBF,KNN,0,0,hamming,0,0.7617021276595745,20,19
 AVY,KNN,0,0,canberra,0,0.635118306351183,20,11
 AXE,KNN,0,0,braycurtis,0,0.5740971357409713,20,12
 BBX,KNN,0,0,hamming,0,0.49355670103092786,20,12
 BCE,KNN,0,0,hamming,0,0.46948941469489414,20,17
 BBY,KNN,0,0,hamming,0,0.5006226650062267,20,14
 BDC,KNN,0,0,canberra,0,0.5940224159402242,20,13
 BBF,KNN,0,0,hamming,0,0.5667144906743186,30,18
 AVY,KNN,0,0,hamming,0,0.4226415094339623,30,14
 BBX,KNN,0,0,hamming,0,0.4973958333333333,30,21
 AXE,KNN,0,0,hamming,0,0.5308176100628931,30,21
 BBY,KNN,0,0,hamming,0,0.5056603773584906,30,13
 BCE,KNN,0,0,chebyshev,0,0.6,30,21
 BDC,KNN,0,0,chebyshev,0,0.6012578616352201,30,20
 BBF,KNN,0,0,canberra,0,0.6618287373004355,40,12
 AVY,KNN,0,0,canberra,0,0.6048284625158831,40,21
 BBX,KNN,0,0,chebyshev,0,0.6078947368421053,40,26
 BBY,KNN,0,0,canberra,0,0.650571791613723,40,27
 BCE,KNN,0,0,euclidean,0,0.590851334180432,40,22
 AXE,KNN,0,0,canberra,0,0.6874205844980941,40,26
 BDC,KNN,0,0,hamming,0,0.542566709021601,40,24
 BBF,KNN,0,0,manhattan,0,0.6431718061674009,50,12
 BBX,KNN,0,0,manhattan,0,0.6196808510638298,50,27
 AVY,KNN,0,0,hamming,0,0.4685494223363286,50,31
 BBY,KNN,0,0,hamming,0,0.5134788189987163,50,36
 AXE,KNN,0,0,chebyshev,0,0.5917843388960206,50,30
 BCE,KNN,0,0,canberra,0,0.6700898587933247,50,32
 BDC,KNN,0,0,canberra,0,0.693196405648267,50,35
