Stock,Algorithm,Estimators,Depth,Distance_function,No_of_features,Model_Score,Future_day,C,degree,No_of_neighbors,Our_test_score
 CUZ,KNN,-1,-1,euclidean,12.0,0.6632016632016632,10,-1.0,-1.0,3.0,10.0
 CUZ,SVM,-1,-1,poly,23.0,0.590146750524109,20,5.0,2.0,-1.0,16.0
 CUZ,KNN,-1,-1,hamming,15.0,0.5303983228511531,20,-1.0,-1.0,11.0,14.0
 CUZ,SVM,-1,-1,linear,18.0,0.5792811839323467,30,100.0,1.0,-1.0,20.0
 CUZ,KNN,-1,-1,chebyshev,13.0,0.6786469344608879,30,-1.0,-1.0,11.0,26.0
 CUZ,SVM,-1,-1,linear,19.0,0.6481876332622601,40,100.0,1.0,-1.0,33.0
 CUZ,KNN,-1,-1,braycurtis,22.0,0.6023454157782516,40,-1.0,-1.0,11.0,31.0
 CUZ,SVM,-1,-1,poly,23.0,0.5763440860215053,50,100.0,3.0,-1.0,37.0
 CUZ,KNN,-1,-1,manhattan,10.0,0.7408602150537634,50,-1.0,-1.0,5.0,45.0
 CUZ,SVM,-1,-1,linear,21.0,0.5357917570498916,60,100.0,1.0,-1.0,34.0
 CUZ,KNN,-1,-1,hamming,12.0,0.4587852494577007,60,-1.0,-1.0,3.0,45.0
 CUZ,SVM,-1,-1,linear,19.0,0.5733041575492341,70,100.0,1.0,-1.0,52.0
 CUZ,KNN,-1,-1,hamming,15.0,0.4442013129102845,70,-1.0,-1.0,7.0,59.0
 CUZ,SVM,-1,-1,linear,22.0,0.477924944812362,80,100.0,1.0,-1.0,55.0
 CUZ,KNN,-1,-1,hamming,12.0,0.4911699779249448,80,-1.0,-1.0,11.0,76.0
 CUZ,SVM,-1,-1,linear,20.0,0.5512249443207127,90,100.0,1.0,-1.0,47.0
 CUZ,KNN,-1,-1,hamming,10.0,0.4688195991091314,90,-1.0,-1.0,9.0,61.0
 CUZ,SVM,-1,-1,poly,23.0,0.6089887640449438,100,100.0,3.0,-1.0,60.0
 CUZ,KNN,-1,-1,hamming,18.0,0.5584269662921348,100,-1.0,-1.0,9.0,64.0
 LAZ,SVM,-1,-1,linear,22.0,0.43004418262150224,10,100.0,1.0,-1.0,9.0
 LAZ,KNN,-1,-1,chebyshev,17.0,0.5508100147275405,10,-1.0,-1.0,11.0,10.0
 LAZ,SVM,-1,-1,linear,12.0,0.5737704918032787,20,100.0,1.0,-1.0,15.0
