Stock,Algorithm,Estimators,Depth,Metric,No_of_features,Model_Score,Future_day,Our_test_score
 BBF,KNN,0,0,euclidean,0,0.7801418439716312,20,20
 BBY,KNN,0,0,euclidean,0,0.5516811955168119,20,16
 AXE,KNN,0,0,euclidean,0,0.5442092154420921,20,9
 BBX,KNN,0,0,hamming,0,0.47551546391752575,20,12
 AVY,KNN,0,0,braycurtis,0,0.6077210460772104,20,17
 BCE,KNN,0,0,manhattan,0,0.6811955168119551,20,20
 BDC,KNN,0,0,hamming,0,0.48941469489414696,20,17
 BBF,KNN,0,0,euclidean,0,0.6771879483500718,30,25
 BBY,KNN,0,0,euclidean,0,0.5710691823899371,30,24
 AXE,KNN,0,0,braycurtis,0,0.6352201257861635,30,21
 BBX,KNN,0,0,euclidean,0,0.5677083333333334,30,25
 AVY,KNN,0,0,euclidean,0,0.5358490566037736,30,27
 BCE,KNN,0,0,braycurtis,0,0.6465408805031446,30,22
 BDC,KNN,0,0,hamming,0,0.5182389937106918,30,20
 BBF,KNN,0,0,braycurtis,0,0.6429608127721336,40,34
 BBY,KNN,0,0,braycurtis,0,0.6353240152477764,40,40
 BBX,KNN,0,0,canberra,0,0.6605263157894737,40,29
 AXE,KNN,0,0,hamming,0,0.4891994917407878,40,21
 BCE,KNN,0,0,euclidean,0,0.6060991105463787,40,18
 AVY,KNN,0,0,braycurtis,0,0.5641677255400254,40,37
 BDC,KNN,0,0,hamming,0,0.542566709021601,40,27
 BBF,KNN,0,0,chebyshev,0,0.5242290748898678,50,49
 BBY,KNN,0,0,canberra,0,0.6572528883183568,50,34
 BBX,KNN,0,0,manhattan,0,0.636968085106383,50,30
 AXE,KNN,0,0,hamming,0,0.44801026957637996,50,34
 BCE,KNN,0,0,canberra,0,0.6700898587933247,50,36
 BDC,KNN,0,0,braycurtis,0,0.6803594351732991,50,34
 AVY,KNN,0,0,manhattan,0,0.6033376123234917,50,36
 BBF,KNN,0,0,braycurtis,0,0.6463595839524517,60,42
 BBX,KNN,0,0,canberra,0,0.6518817204301075,60,38
 BBY,KNN,0,0,euclidean,0,0.622568093385214,60,47
 AXE,KNN,0,0,chebyshev,0,0.6083009079118028,60,45
 BCE,KNN,0,0,euclidean,0,0.6070038910505836,60,43
 BDC,KNN,0,0,euclidean,0,0.622568093385214,60,51
 AVY,KNN,0,0,euclidean,0,0.5901426718547341,60,48
 BBF,KNN,0,0,euclidean,0,0.6300751879699248,70,46
 BBX,KNN,0,0,braycurtis,0,0.6222826086956522,70,46
 BBY,KNN,0,0,hamming,0,0.5373525557011796,70,27
 AXE,KNN,0,0,euclidean,0,0.6435124508519003,70,54
 BCE,KNN,0,0,euclidean,0,0.6382699868938401,70,62
 BDC,KNN,0,0,euclidean,0,0.6435124508519003,70,60
