Stock,Algorithm,Estimators,Depth,Distance_function,No_of_features,Model_Score,Future_day,C,No_of_neighbors,Our_test_score
 VSM,RF,-1,-1,0,-1,-1,-1,-1,-1,-1
 VSM,SVM,0,0,Linear,-1,-1,30,-1,-1,-1
 VSM,ZR,0,0,0,0,13.5,30,-1,-1,28
 VSM,KNN,0,0,-1,-1,-1,40,-1,-1,-1
 VSM,RF,-1,-1,0,-1,-1,-1,-1,-1,-1
 VSM,SVM,0,0,Linear,-1,-1,40,-1,-1,-1
 VSM,ZR,0,0,0,0,37.0,40,-1,-1,24
 VSM,KNN,0,0,-1,-1,-1,50,-1,-1,-1
 VSM,RF,-1,-1,0,-1,-1,-1,-1,-1,-1
 VSM,SVM,0,0,Linear,-1,-1,50,-1,-1,-1
 VSM,ZR,0,0,0,0,-1,50,-1,-1,34
 VSM,KNN,0,0,-1,-1,-1,60,-1,-1,-1
 VSM,RF,-1,-1,0,-1,-1,-1,-1,-1,-1
 VSM,SVM,0,0,Linear,-1,-1,60,-1,-1,-1
 VSM,ZR,0,0,0,0,-1,60,-1,-1,23
 VSM,KNN,0,0,-1,-1,-1,70,-1,-1,-1
 VSM,RF,-1,-1,0,-1,-1,-1,-1,-1,-1
 VSM,SVM,0,0,Linear,-1,-1,70,-1,-1,-1
 VSM,ZR,0,0,0,0,-1,70,-1,-1,20
 VSM,KNN,0,0,-1,-1,-1,80,-1,-1,-1
 VSM,RF,-1,-1,0,-1,-1,-1,-1,-1,-1
 VSM,SVM,0,0,Linear,-1,-1,80,-1,-1,-1
 VSM,ZR,0,0,0,0,-1,80,-1,-1,-1
 VSM,KNN,0,0,-1,-1,-1,90,-1,-1,-1
 VSM,RF,-1,-1,0,-1,-1,-1,-1,-1,-1
 VSM,SVM,0,0,Linear,-1,-1,90,-1,-1,-1
 VSM,ZR,0,0,0,0,-1,90,-1,-1,-1
 VSM,KNN,0,0,-1,-1,-1,100,-1,-1,-1
 VSM,RF,-1,-1,0,-1,-1,-1,-1,-1,-1
 VSM,SVM,0,0,Linear,-1,-1,100,-1,-1,-1
 VSM,ZR,0,0,0,0,-1,100,-1,-1,-1
